name,type1,type2,forms,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,type1_alt,type2_alt,type1_alt1,type2_alt1,type1_alt2,type2_alt2,type1_alt3,type2_alt3,type1_alt4,type2_alt4,pokedex_number
Bulbasaur,grass,poison,1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,1
Ivysaur,grass,poison,1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,2
Venusaur,grass,poison,1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,3
Charmander,fire,None,1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,None,None,None,None,None,None,None,None,None,None,4
Charmeleon,fire,None,1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,None,None,None,None,None,None,None,None,None,None,5
Charizard,fire,flying,1,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,None,None,None,None,None,None,None,None,None,None,6
Squirtle,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,7
Wartortle,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,8
Blastoise,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,9
Caterpie,bug,None,1,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,10
Metapod,bug,None,1,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,11
Butterfree,bug,flying,1,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,12
Weedle,bug,poison,1,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,13
Kakuna,bug,poison,1,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,14
Beedrill,bug,poison,1,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,15
Pidgey,normal,flying,1,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,16
Pidgeotto,normal,flying,1,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,17
Pidgeot,normal,flying,1,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,18
Rattata,normal,None,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,dark,normal,None,None,None,None,None,None,None,None,19
Raticate,normal,None,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,dark,normal,None,None,None,None,None,None,None,None,20
Spearow,normal,flying,1,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,21
Fearow,normal,flying,1,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,22
Ekans,poison,None,1,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,23
Arbok,poison,None,1,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,24
Pikachu,electric,None,1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,None,None,None,None,None,None,None,None,None,None,25
Raichu,electric,electric,2,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,electric,psychic,None,None,None,None,None,None,None,None,26
Sandshrew,ground,None,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,ice,steel,None,None,None,None,None,None,None,None,27
Sandslash,ground,None,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,ice,steel,None,None,None,None,None,None,None,None,28
Nidoran♀,poison,None,1,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,29
Nidorina,poison,None,1,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,30
Nidoqueen,poison,ground,1,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,None,None,None,None,None,None,None,None,None,None,31
Nidoran♂,poison,None,1,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,32
Nidorino,poison,None,1,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,33
Nidoking,poison,ground,1,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,None,None,None,None,None,None,None,None,None,None,34
Clefairy,fairy,None,1,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,None,None,None,None,None,None,None,None,None,None,35
Clefable,fairy,None,1,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,None,None,None,None,None,None,None,None,None,None,36
Vulpix,fire,None,2,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,ice,None,None,None,None,None,None,None,None,None,37
Ninetales,fire,None,2,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,ice,fairy,None,None,None,None,None,None,None,None,38
Jigglypuff,normal,fairy,1,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,None,None,None,None,None,None,None,None,None,None,39
Wigglytuff,normal,fairy,1,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,None,None,None,None,None,None,None,None,None,None,40
Zubat,poison,flying,1,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,41
Golbat,poison,flying,1,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,42
Oddish,grass,poison,1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,43
Gloom,grass,poison,1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,44
Vileplume,grass,poison,1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,45
Paras,bug,grass,1,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,46
Parasect,bug,grass,1,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,47
Venonat,bug,poison,1,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,48
Venomoth,bug,poison,1,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,49
Diglett,ground,None,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,ground,steel,None,None,None,None,None,None,None,None,50
Dugtrio,ground,None,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,ground,steel,None,None,None,None,None,None,None,None,51
Meowth,normal,None,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,dark,None,None,None,None,None,None,None,None,None,52
Persian,normal,None,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,dark,None,None,None,None,None,None,None,None,None,53
Psyduck,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,54
Golduck,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,55
Mankey,fighting,None,1,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,None,None,None,None,None,None,None,None,None,None,56
Primeape,fighting,None,1,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,None,None,None,None,None,None,None,None,None,None,57
Growlithe,fire,None,1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,None,None,None,None,None,None,None,None,None,None,58
Arcanine,fire,None,1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,None,None,None,None,None,None,None,None,None,None,59
Poliwag,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,60
Poliwhirl,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,61
Poliwrath,water,fighting,1,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,None,None,None,None,None,None,None,None,None,None,62
Abra,psychic,None,1,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,63
Kadabra,psychic,None,1,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,64
Alakazam,psychic,None,1,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,65
Machop,fighting,None,1,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,None,None,None,None,None,None,None,None,None,None,66
Machoke,fighting,None,1,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,None,None,None,None,None,None,None,None,None,None,67
Machamp,fighting,None,1,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,None,None,None,None,None,None,None,None,None,None,68
Bellsprout,grass,poison,1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,69
Weepinbell,grass,poison,1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,70
Victreebel,grass,poison,1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,71
Tentacool,water,poison,1,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,72
Tentacruel,water,poison,1,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,73
Geodude,rock,ground,2,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,rock,electric,None,None,None,None,None,None,None,None,74
Graveler,rock,ground,2,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,rock,electric,None,None,None,None,None,None,None,None,75
Golem,rock,ground,2,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,rock,electric,None,None,None,None,None,None,None,None,76
Ponyta,fire,None,1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,None,None,None,None,None,None,None,None,None,None,77
Rapidash,fire,None,1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,None,None,None,None,None,None,None,None,None,None,78
Slowpoke,water,psychic,1,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,79
Slowbro,water,psychic,1,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,80
Magnemite,electric,steel,1,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,None,None,None,None,None,None,None,None,None,None,81
Magneton,electric,steel,1,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,None,None,None,None,None,None,None,None,None,None,82
Farfetch'd,normal,flying,1,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,83
Doduo,normal,flying,1,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,84
Dodrio,normal,flying,1,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,85
Seel,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,86
Dewgong,water,ice,1,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,87
Grimer,poison,None,2,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,poison,dark,None,None,None,None,None,None,None,None,88
Muk,poison,None,2,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,poison,dark,None,None,None,None,None,None,None,None,89
Shellder,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,90
Cloyster,water,ice,1,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,91
Gastly,ghost,poison,1,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,92
Haunter,ghost,poison,1,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,93
Gengar,ghost,poison,1,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,94
Onix,rock,ground,1,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,None,None,None,None,None,None,None,None,None,None,95
Drowzee,psychic,None,1,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,96
Hypno,psychic,None,1,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,97
Krabby,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,98
Kingler,water,None,1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,None,None,None,None,None,None,None,None,None,None,99
Voltorb,electric,None,1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,None,None,None,None,None,None,None,None,None,None,100
Electrode,electric,None,1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,None,None,None,None,None,None,None,None,None,None,101
Exeggcute,grass,psychic,1,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,None,None,None,None,None,None,None,None,None,None,102
Exeggutor,grass,psychic,2,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,grass,dragon,None,None,None,None,None,None,None,None,103
Cubone,ground,None,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,None,None,None,None,None,None,None,None,None,None,104
Marowak,ground,None,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,fire,ghost,None,None,None,None,None,None,None,None,105
Hitmonlee,fighting,None,1,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,None,None,None,None,None,None,None,None,None,None,106
Hitmonchan,fighting,None,1,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,None,None,None,None,None,None,None,None,None,None,107
Lickitung,normal,None,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,108
Koffing,poison,None,1,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,109
Weezing,poison,None,1,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,None,None,None,None,None,None,None,None,None,None,110
